Order,PMID,Short_Ref,RQS_01_ImgProtocol,RQS_02_MultiSeg,RQS_03_Phantom,RQS_04_MultiTime,RQS_05_FeatRedux,RQS_06_MultiVar,RQS_07_BiologicCorr,RQS_08_CutOff,RQS_09_Discrim,RQS_10_Calib,RQS_11_ProspReg,RQS_12_Validation,RQS_13_GoldStd,RQS_14_ClinUtil,RQS_15_CostEff,RQS_16_OpenScience,RQS_Total,RQS_Pct,RQS_Notes
1,41944974,Medical image pretraining-based transfer learning for genera...,1,1,0,0,3,1,0,1,2,0,0,4,2,0,0,3,18,50.0,SIEMENS DR params documented but no public protocol; 2 radiologists+consensus; ElasticNet feature redux+Bonferroni; ext val 3 centers (BTXRD); BTXRD scans+segs+code public; no DCA (PPV/spec at thresholds discussed only); histopath gold std
2,39412688,One novel transfer learning-based CLIP model combined with s...,1,1,0,0,0,0,0,0,2,1,0,2,2,2,0,1,12,33.3,3 hospitals pooled then 7:3 random split = internal validation only; Lasso+PCA feature redux but no explicit multiple-testing correction; DCA shown; calibration curves no CI; features in supplement; data on request; arterial+venous = phases not time points
3,41663975,Noninvasive preoperative risk stratification of prostate can...,2,1,0,0,0,0,1,0,1,0,0,2,2,2,0,0,11,30.6,EANM 2.0 protocol cited (+1 public); 2 NM readers blinded but agreement not quantified; FOLH1 transcriptomic correlate examined; AUC reported as mean+/-SD across folds (not 95% CI); 5-fold CV single-center only; DCA shown; no code/data shared
4,40605934,End-to-end prediction of clinical outcomes in head and neck ...,2,0,0,0,3,1,1,1,2,0,0,4,2,0,0,3,19,52.8,TCIA cohorts (RADCURE/HN1/HN-PET-CT) public protocols; existing GTVp segs used (no re-segmentation); mRMR+BH correction; HPV subgroup = biological correlate; KM with median cutoff; 2 external cohorts (HN-PET-CT spans 4 hospitals); STAMP code on GitHub; no DCA
5,34817635,Computed tomography-based deep-learning prediction of induct...,1,1,0,0,0,1,0,0,1,1,0,2,2,2,0,1,12,33.3,Single center 7:3 split = internal val; CT params in supplement; 2 radiologists+ICC>0.85+20% repeat segs; univariate filter+RFA but no explicit multiple-testing adjustment; clinical-radiological combined model; calibration plots+H-L; DCA shown; GitHub code
6,35583712,Combining multiparametric MRI features-based transfer learni...,1,1,0,0,0,1,0,0,1,0,0,2,2,0,0,0,8,22.2,Dai 2022 uterine sarcoma; single scanner; LASSO only (no multitest correction); no 95% CI on AUCs in tables; internal 7:3 split only
7,35810561,Prediction of lung malignancy progression and survival with ...,1,1,0,0,0,1,0,1,2,2,0,2,2,0,0,1,13,36.1,Huang 2022 lung PET/CT; 3 institutions but pooled split (not strict external); 95% CI on AUC and C-index; code on GitHub; calibration via IBS with bootstrap CI
8,38061942,Contrast-Enhanced CT-Based Deep Learning Radiomics Nomogram ...,1,1,0,0,0,1,0,1,2,1,0,3,2,2,0,0,14,38.9,"Meng 2024 GBC CT; 2 centers with center-based train/test = external single site (+3); calibration curve+HL test but no CI on calib; OnekeyAI not open code; FLAG: Phase 4a coded this as Internal-test-only (External_Validation=NO) -- conflict with Phase 4b RQS Item 12 = +3 external. Requires reconciliation. RECONCILED: ext-val conflict resolved May 19 2026 -- Methods confirms center-based train/test split (Center 2 trains n=105, Center 1 tests n=62), so Item 12=+3 is correct. Phase 4a row updated to ExtVal=YES."
9,38343220,An MRI-Based Deep Transfer Learning Radiomics Nomogram to Pr...,1,1,0,0,0,1,0,0,2,1,0,2,2,2,0,1,13,36.1,Duan 2024 meningioma Ki-67; single center; calib curve no HL with CI; gitee code link; DCA present; 8:2 internal split only
10,40386715,Integrating radiomics and deep learning for enhanced predict...,1,0,0,0,0,0,0,0,2,1,0,2,2,2,0,0,10,27.8,"Chen 2025 lung HGP; single reader manual seg (auto-VNet separate); clinical features deliberately excluded from fusion model; temporal split = internal RECONCILED 2026-05-19: cohort design clarified -- single-center temporal hold-out (213 train + 92 internal val tuning + 98 internal test, Taizhou Hospital). RQS Item 12=+2 internal is correct."
11,39915711,Integrating manual annotation with deep transfer learning an...,1,1,0,0,0,0,0,0,2,0,0,2,2,2,0,0,10,27.8,Wang 2025 VCF: DTL+radiomics for acute vs chronic VCF; ICC inter/intra-observer; AUC w/ 95%CI; DCA performed; MRI gold standard; only internal random split; no calibration curves; no public code/data
12,40217563,Novel CT radiomics models for the postoperative prediction o...,1,0,0,0,0,1,0,0,2,1,0,2,2,2,0,0,11,30.6,Du 2025 PDAC recurrence: Multi-scanner CT (4 vendors); clinical+radiomics+deep-radiomics combined; calibration curves (no CI); DCA+NRI+IDI; internal split only (n=74 test); single segmenter then expert review (no ICC); data/code on request
13,40771387,Integrating multimodal ultrasound imaging for improved radio...,1,1,0,0,0,0,0,0,2,0,0,3,2,0,0,0,9,25.0,"Yang 2025 breast SLN US: BMUS+CDUS USCD-Net dual-stream; ICC inter/intra (0.83/0.85); external validation 1 site (Shuguang); AUC w/ 95%CI; no DCA, no calibration; CAM for interpretability but not a formal biologic correlate"
14,37495426,Development and Validation of a Feature-Based Broad-Learning...,1,0,0,0,-3,0,0,0,2,0,0,2,2,0,0,1,5,13.9,"Zhang 2024 osteoporosis BLS: BLS architecture; no LASSO/Pearson filter or multiple-testing correction applied to the 1476 radiomic features -> Item 5 = -3; train/test from different scanners (multi-center) -> +3 external single-site; AUC w/ 95%CI; GitHub code public (+1); single segmenter validated by senior (no ICC). FLAG: Phase 4a coded ExtVal=NO but Phase 4b RQS Item 12 = +3 external -- another inter-phase reconciliation item. RECONCILED 2026-05-19 (strict reading): Item 12 downgraded from +3 to +2 because paper does not explicitly state center allocation (scanner-vendor segregation Philips=train/Siemens=test implies but does not declare site separation). Item 5=-3 confirmed (no LASSO/Pearson/mRMR/ICC, no Bonferroni/FDR/BH; BLS random-projection layer expands dimensionality, doesn't reduce it -- not a valid feature-reduction technique per RQS intent). New RQS total: 5 (NEW CORPUS LOW)."
15,38622546,Ultrasound-based deep learning radiomics model for different...,1,1,0,0,0,1,0,0,1,0,0,2,2,0,0,0,8,22.2,"Du 2024 ovarian 3-class: ICC inter/intra on 50 cases; ICC+t-test/MWU+Spearman+LASSO feature reduction but no multiple-testing correction -> Item 5 = 0; clinical+radiomics+DTL fused (DLR_Sig); AUC reported without 95%CI in tables -> Item 9 = +1; Grad-CAM shown; single-center internal split; no DCA, no calibration; data on request"
16,38796795,Deep learning nomogram for predicting neoadjuvant chemothera...,1,1,0,0,0,1,0,1,2,1,0,3,2,2,0,0,14,38.9,38796795 Zhang gastric NAC: external val 1 site (Center B); X-tile cutoff for PFS; DCA done; calib curves no CI; no formal biologic correlation
17,38871552,Multi-feature Fusion Network on Gray Scale Ultrasonography: ...,1,1,0,0,0,1,0,1,2,1,0,3,2,2,0,0,14,38.9,38871552 Mao parotid: external val 1 site (Center 2); Grad-CAM interpretive only (item 7=0); DCA + reader study; calib no CI
18,38939344,Multiparametric MRI-based radiomics approach with deep trans...,1,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,8,22.2,38939344 Lin SNSCC Ki-67: clinical features tested but none independent so final model lacks non-radiomics (item 6=0); no DCA; no calib; internal 8:2 only
19,39060962,Ultrasound-based deep learning radiomics nomogram for differ...,1,1,0,0,0,0,0,1,2,1,0,2,2,2,0,0,12,33.3,39060962 Wu mastitis: methods state DLRN=RAD+DL fusion not clinical (item 6=0 despite abstract ambiguity); ComBat used; DCA done; single center
20,36879285,Differentiation of acute and chronic vertebral compression f...,1,1,0,0,0,1,0,1,2,0,0,2,2,2,0,0,12,33.3,36879285 Zhang VCF: nomogram includes age+gender (item 6=+1); DCA done; no explicit calibration curves; internal val only; MRI BME as gold standard
21,37444526,Novel Multiparametric Magnetic Resonance Imaging-Based Deep ...,1,0,0,0,0,1,0,1,2,0,0,2,2,0,0,0,9,25.0,Lee 2023 PCa BCR: single expert ROI (Item2=0); LASSO only no MT correction (Item5=0); 5-fold CV internal only no external set (Item12=+2); Grad-CAM not biological correlation; no DCA; data unavailable
22,37832194,Deep learning-based radiomic nomogram to predict risk catego...,1,1,0,0,0,1,0,1,2,1,0,3,2,2,0,0,14,38.9,"Zhou 2023 thymic TET: DLRN=DLR+age+sex (item 6 +1). Ext val 1 site, n=53 (item 12 +3). DCA done, AUC w/95% CI, calib in supp. t-test feature filter but no Bonferroni correction (item 5 = 0). No own code/data shared."
23,35037985,A deep learning radiomics model may help to improve the pred...,1,1,0,0,0,0,0,1,1,0,0,2,2,0,0,0,8,22.2,"Yang 2022 meningioma grading: DLRM combines radiomics+DL only -- no clinical features in model (item 6 = 0). Only 8:2 internal split, no external cohort (item 12 +2). AUC reported without 95% CIs (item 9 +1). No DCA, no calibration. SMOTE for class imbalance."
24,32941954,Computed tomography-based deep-learning prediction of neoadj...,1,1,0,0,0,1,1,1,2,1,0,3,2,2,0,1,16,44.4,Hu 2021 ESCC nCRT: Code on GitHub (chenyixie123/ESCC_ML). Radiogenomics pathway analysis (GSE45670) = biological correlate (item 7 +1). Ext val from HKU 1 site (item 12 +3). Clinical features added in workflow but not selected -- still counts as multivar with non-rad (item 6 +1).
25,40037925,Transfer learning radiomic model predicts intratumoral terti...,1,1,0,0,3,1,1,1,2,1,0,4,2,2,0,1,20,55.6,Long 2025 HCC iTLS: Bonferroni correction explicit + LASSO+mRMR (item 5 +3). External validation across 3 institutions (item 12 +4). TCGA/TCIA pathway enrichment for interpretability (item 7 +1). Segmentation code on GitHub (TumSeg-main); MRI data not shared (item 16 +1). HIGHEST RQS IN CORPUS SO FAR (20 > Paper 4's 19).
26,40371075,Prediction of prognosis in acute ischemic stroke after mecha...,1,1,0,0,0,1,0,1,2,1,0,2,2,2,0,0,13,36.1,"Pei 2025 AIS post-thrombectomy: Single-center, only 7:3 internal split -- authors explicitly note lack of external validation (item 12 +2). CRD combines clinic+radiomics+DL (item 6 +1). DCA, calibration with H-L test. mRS at discharge (not 90-day) used as endpoint (item 13 +2, debatable)."
27,40771372,Development and validation of a prediction model for lymph n...,1,1,0,0,0,0,0,1,2,0,0,3,2,2,0,0,12,33.3,Zhong 2025 thyroid CLNM: 5 US scanners not harmonised; ANOVA+LASSO no MT correction (Item5=0); no clinical vars in final fusion model (Item6=0); external test n=111 1 site (Item12=+3); DCA shown
28,38223098,A fusion model integrating magnetic resonance imaging radiom...,1,1,0,0,0,1,0,1,2,1,0,3,2,2,0,0,14,38.9,Liu 2024 ATRX astrocytoma: 3 centers A+B train C external test (Item12=+3); calibration curve shown no CI (Item10=+1); VASARI integrated in fusion model (Item6=+1); DCA + clinical impact curve
