Order,PMID,Short_Ref,CLAIM_01,CLAIM_02,CLAIM_03,CLAIM_04,CLAIM_05,CLAIM_06,CLAIM_07,CLAIM_08,CLAIM_09,CLAIM_10,CLAIM_11,CLAIM_12,CLAIM_13,CLAIM_14,CLAIM_15,CLAIM_16,CLAIM_17,CLAIM_18,CLAIM_19,CLAIM_20,CLAIM_21,CLAIM_22,CLAIM_23,CLAIM_24,CLAIM_25,CLAIM_26,CLAIM_27,CLAIM_28,CLAIM_29,CLAIM_30,CLAIM_31,CLAIM_32,CLAIM_33,CLAIM_34,CLAIM_35,CLAIM_36,CLAIM_37,CLAIM_38,CLAIM_39,CLAIM_40,CLAIM_41,CLAIM_42,CLAIM_Yes_n,CLAIM_No_n,CLAIM_NA_n,CLAIM_Pct_Reported,CLAIM_Notes
1,41944974,Medical image pretraining-based transfer learning for genera...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,37,4,1,90.2,Multicentre external test (3 centres). Param counts not given for InceptionV3 (CLAIM-19). Ref-standard reader blinding not explicit (CLAIM-17). Bounding-box perturbation + stratified error analysis = strong robustness reporting. No preregistration.
2,39412688,One novel transfer learning-based CLIP model combined with s...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,NA,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,32,9,1,78.0,"Random 7:3 split across pooled 3-centre data rather than centre-held-out test (CLAIM-31 borderline Y). No DL augmentation described (CLAIM-22). No formal subgroup, robustness or failure-case analysis. Pathologist blinding not stated."
3,41663975,Noninvasive preoperative risk stratification of prostate can...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,NA,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,34,7,1,82.9,Single-centre 5-fold patient-level CV; NO external test cohort (CLAIM-31 N). DL software/library not stated (CLAIM-20). Pathologists explicitly blinded to imaging and model outputs (CLAIM-17 Y). No subgroup or failure analysis.
4,40605934,End-to-end prediction of clinical outcomes in head and neck ...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,N,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,38,2,2,95.0,"Strongest reporting in this batch. Three external TCIA test cohorts; HPV- and contrast subgroup analyses; bootstrap CIs; permutation tests. CLAIM-17 marked NA (clinical-outcome reference standard, blinding less applicable). Param counts incomplete."
5,34817635,Computed tomography-based deep-learning prediction of induct...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,NA,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,30,11,1,73.2,"Single-centre 7:3 internal split only (CLAIM-31 N). AUC point estimates without 95% CIs in main tables (CLAIM-28, 35 N). No funding statement (CLAIM-42 N). ICC test-retest used for feature robustness. ImageNet transfer learning, no domain-specific FM."
6,35583712,Combining multiparametric MRI features-based transfer learni...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,NA,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,29,12,1,70.7,Dai 2022 uterine sarcoma: No external test set; ImageNet-pretrained CNNs used for TL (item 25 Y); no CIs reported; reader blinding to path Y but not to predictors explicitly (scorer reported 27/14/1 -> 65.9; recomputed from per-item string as 29/12/1 -> 70.7)
7,35810561,Prediction of lung malignancy progression and survival with ...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,37,5,0,88.1,Huang 2022 lung PET/CT: Strong overall; multi-institutional; ComBAT harmonisation; CIs via bootstrap; Grad-CAM failure visualisation; test-set independence from ImageNet pretraining not explicitly addressed (item 31 N) (aggregate matches per-item string)
8,38061942,Contrast-Enhanced CT-Based Deep Learning Radiomics Nomogram ...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,NA,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,30,11,1,73.2,Meng 2024 GBC CT: Two-centre split as train/test (no true external); DenseNet121 ImageNet-pretrained; no external validation; reader blinding to outcome not stated; depth/params not given (scorer reported 28/13/1 -> 68.3; recomputed from per-item string as 30/11/1 -> 73.2)
9,38343220,An MRI-Based Deep Transfer Learning Radiomics Nomogram to Pr...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,NA,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,30,11,1,73.2,Duan 2024 meningioma Ki-67: Single-centre; ResNet50 fine-tuned (item 25 Y); test set internal random split; no external validation; no CIs on metrics beyond AUC; limited failure analysis (scorer reported 28/13/1 -> 68.3; recomputed from per-item string as 30/11/1 -> 73.2)
10,40386715,Integrating radiomics and deep learning for enhanced predict...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,35,6,1,85.4,Chen 2025 lung HGP: Single-centre but temporal test split; ResNet101 ImageNet-pretrained; Grad-CAM in supplement; auto-seg VNet improves automation; no external validation; CIs reported (scorer reported 33/8/1 -> 80.5; recomputed from per-item string as 35/6/1 -> 85.4)
11,39915711,Integrating manual annotation with deep transfer learning an...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,NA,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,29,12,1,70.7,"Wang 2025 VCF. ShuffleNet ImageNet-pretrained (25 Y). Single-center retrospective, no external test. 11 N random split only. 12 N missing-data. 13 N de-id not stated. 17 N blinding unclear. 19 N depth/params absent. 22 N augmentation absent. 24 NA. 29/30 N. 31 N FM-pretraining overlap not addressed. 41 N no registration. (scorer reported 26/15/1 -> 63.4; recomputed from per-item string)"
12,40217563,Novel CT radiomics models for the postoperative prediction o...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,N,N,NA,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,29,12,1,70.7,"Du 2025 PDAC ResNet-50 MedicalNet pretrained (25 Y, 18 Y architecture detail, 19 Y 50 layers+filters). Multi-scanner CT acquisition table reported. 12 N missing-data. 13 N de-id. 17 N radiologist blinding to outcome not stated. 21 N training hyperparams/optimiser/lr absent. 22 N augmentation absent. 23 N no hyperparam tuning detail. 24 NA single GBM. 29/30 N. 31 N MedicalNet pretraining overlap not discussed. 36/37 N. 41 N retrospective non-registered. (scorer reported 27/14/1 -> 65.9; recomputed from per-item string)"
13,40771387,Integrating multimodal ultrasound imaging for improved radio...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,35,6,1,85.4,"Yang 2025 SLN USCD-Net MobileNetV2 ImageNet-pretrained (25 Y). Most CLAIM items well covered: dual-branch architecture, fusion layer, alignment loss, Adam optimiser, cosine annealing, 5-fold CV reported. External validation set from 2nd hospital (31 partially addressed -- different hospital but same modality, scored N because FM-pretraining/ImageNet overlap not discussed). 12 N missing-data. 17 N radiologist blinding to SLN outcome unclear. 24 NA. 29 N no subgroup. 37 Y Grad-CAM failure visualisation. 41 N retrospective non-registered. (scorer reported 34/7/1 -> 82.9; recomputed from per-item string)"
14,37495426,Development and Validation of a Feature-Based Broad-Learning...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,34,7,1,82.9,"Zhang 2024 BLS osteoporosis. Multi-center (3 centers, independent test set from different scanner -- 31 Y). ResNet18 + VGG11 ImageNet-pretrained (25 Y, 19 Y layer-wise detail). CLAHE pre-processing, SMOTE augmentation reported. Sample-size calculation reported. 12 N missing-data not described. 13 N de-id not stated. 29 N no subgroup (single sex/age band by design). 30 N robustness/failure analysis absent. 36/37 N. 41 N not registered. Source code shared (positive). DXA reference standard rationale strong. (scorer reported 32/9/1 -> 78.0; recomputed from per-item string)"
15,38622546,Ultrasound-based deep learning radiomics model for different...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,NA,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,34,7,1,82.9,"Du 2024 ovarian DLR ResNet50 ImageNet-pretrained (25 Y). Stratified 8:2 split, LASSO feature selection with lambda reported, cosine-decay lr (supp), Grad-CAM failure cases shown (37 Y, 36 Y per-class). Three-class one-vs-rest with confusion matrices. 12 N missing-data. 17 Y readers blinded to clinical/path. 19 N ResNet50 depth not quantified in text. 28 N no CIs on AUC. 29 N no subgroup. 30 N robustness absent. 31 N single-center, no external test, ImageNet overlap not discussed. 41 N retrospective non-registered. (scorer reported 32/9/1 -> 78.0; recomputed from per-item string)"
16,38796795,Deep learning nomogram for predicting neoadjuvant chemothera...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,NA,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,33,8,1,80.5,"Zhang 2024 LAGC NAC: Item 19 N (depth/param count not quantified). Item 22 N (SMOTE only, no image augmentation). Item 31 N (ImageNet pretraining corpus overlap with test data not discussed). External validation present but FM-pretraining independence not addressed. (scorer reported 33/8/1 -> 80.5; matches per-item string)"
17,38871552,Multi-feature Fusion Network on Gray Scale Ultrasonography: ...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,35,7,0,83.3,Mao 2024 parotid: Item 17 N (pathologist blinding to predictors not explicit). Item 22 N (PCA used but image augmentation not described). Item 31 N (ImageNet pretraining corpus independence from test data not addressed). Reader study strengthens 29/36. (scorer reported 35/7/0 -> 83.3; matches per-item string)
18,38939344,Multiparametric MRI-based radiomics approach with deep trans...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,N,Y,NA,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,31,10,1,75.6,Lin 2024 SNSCC Ki-67: Item 15 N (Ki-67 scoring inter-rater not detailed). Item 22 N (no image augmentation described). Item 24 NA (9 classifiers compared but not formally ensembled). Single-center; no external validation weakens generalizability. (scorer reported 30/11/1 -> 73.2; recomputed from per-item string as 31/10/1 -> 75.6)
19,39060962,Ultrasound-based deep learning radiomics nomogram for differ...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,NA,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,35,6,1,85.4,"Wu 2024 mastitis: Item 21 N (learning rate not explicitly stated). Item 24 NA (classifier comparison, not formal ensemble). Item 29 Y via K-means unsupervised clustering. Single-center limits external validity. Funding declared as Not applicable but transparently. (scorer reported 35/6/1 -> 85.4; matches per-item string)"
20,36879285,Differentiation of acute and chronic vertebral compression f...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,NA,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,34,7,1,82.9,Zhang 2023 VCFs: Item 17 N (reference-standard reader blinding to predictors not explicit). Item 22 N (image augmentation not described beyond PCA). Item 30/37 Y via worked example cases. No external validation; FM-pretraining corpus independence not addressed. (scorer reported 34/7/1 -> 82.9; matches per-item string)
21,37444526,Novel Multiparametric Magnetic Resonance Imaging-Based Deep ...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,NA,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,34,7,1,82.9,Lee 2023 prostate BCR: Single-center retrospective; 5-fold CV only -- no external test set (item 31 N); EfficientNet-B0 ImageNet-pretrained; DL loss/optimizer/lr not stated (item 21 N); no data augmentation; Grad-CAM shown but no formal failure-case analysis; de-identification not explicit; pathology/radiology blinding not stated (reported 34/7/1 -> 82.9; matches per-item string)
22,37832194,Deep learning-based radiomic nomogram to predict risk catego...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,NA,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,31,10,1,75.6,Zhou 2023 thymic TET: DL training details (loss/optimizer/lr) sparse; ResNet50 depth implied but param count absent; no failure analysis; CLEAR/RQS reported as quality bonus; PCA used not augmentation (reported 31/10/1 -> 75.6; matches per-item string)
23,35037985,A deep learning radiomics model may help to improve the pred...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,NA,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,31,10,1,75.6,"Yang 2022 meningioma grading: Single-center 8:2 split, no external test (item 31 N); SMOTE scored as regularisation/resampling on item 22; ICC reproducibility reported; loss/optimizer/lr not given (reported 31/10/1 -> 75.6; matches per-item string)"
24,32941954,Computed tomography-based deep-learning prediction of neoadj...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N,N,Y,NA,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,31,10,1,75.6,Hu 2021 ESCC: Blinding status of ROI segmenters to outcome not stated (item 17 N); Grad-CAM is interpretability not failure analysis (item 37 N); ComBat harmonization counted under preprocessing; ICC robustness reported (reported 31/10/1 -> 75.6; matches per-item string)
25,40037925,Transfer learning radiomic model predicts intratumoral terti...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,36,5,1,87.8,Long 2025 HCC iTLS: Strongest reporting of the five; TRIPOD+AI cited but not pre-registered; multicenter external validation + radiogenomics interpretability; explicit augmentation strategy unclear in main text (item 22 N). HIGHEST CLAIM in Batch 5; second-highest in corpus overall (after Paper 4 at 95.0%). (reported 36/5/1 -> 87.8; matches per-item string)
26,40371075,Prediction of prognosis in acute ischemic stroke after mecha...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,33,8,1,80.5,"Pei 2025 AIS thrombectomy: Single-center, no external validation (item 31 N, acknowledged); transfer learning used but pretraining corpus not specified (item 25 N); strong augmentation/optimizer reporting; authors explicitly state no subgroup analysis. NOTE: CLAIM item 25 N for unstated pretraining provenance -- relates to Phase 4a flag for FM_Pretraining=NR. (reported 33/8/1 -> 80.5; matches per-item string)"
27,40771372,Development and validation of a prediction model for lymph n...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,NA,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,32,9,1,78.0,"Zhong 2025 thyroid CLNM: Two-center with external test set (Tongji, item 31 Y); ResNet-50 used only as feature extractor; pretraining corpus not explicitly stated (item 25 N); no DL training hyperparameters; no augmentation; no patient-level subgroup or failure-case analysis; pathologist/radiologist blinding not described (reported 32/9/1 -> 78.0; matches per-item string)"
28,38223098,A fusion model integrating magnetic resonance imaging radiom...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,36,5,1,87.8,"Liu 2024 ATRX astrocytoma: Multicenter with independent external test (Cohort C, item 31 Y); ResNet-34 pretrained on ImageNet-1k (explicit); DL used as feature extractor only -- no fine-tuning; LASSO + AIC + 10-fold CV; DCA/calibration/nomogram support robustness (item 30 Y); double-blind VASARI scoring; no performance subgroups; no formal failure-case analysis (reported 36/5/1 -> 87.8; matches per-item string)"
